Subject,Start Date,Start Time,End Date,End Time,Description,Location
ENCE361 LecC,03/31/2016,08:00 AM,03/31/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,05/05/2016,08:00 AM,05/05/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,05/12/2016,08:00 AM,05/12/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,05/19/2016,08:00 AM,05/19/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,05/26/2016,08:00 AM,05/26/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 TesA,05/04/2016,06:00 PM,05/04/2016,07:00 PM,Embedded Systems 1 :: No item, C1 Lecture Theatre
ENCE361 TutA,02/24/2016,08:00 AM,02/24/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/02/2016,08:00 AM,03/02/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/09/2016,08:00 AM,03/09/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/16/2016,08:00 AM,03/16/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/23/2016,08:00 AM,03/23/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/30/2016,08:00 AM,03/30/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,05/04/2016,08:00 AM,05/04/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,05/11/2016,08:00 AM,05/11/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,05/18/2016,08:00 AM,05/18/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,05/25/2016,08:00 AM,05/25/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENEL301 LecA,07/11/2016,05:00 PM,07/11/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Wheki 302
ENEL301 LecA,07/18/2016,05:00 PM,07/18/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,07/25/2016,05:00 PM,07/25/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,08/01/2016,05:00 PM,08/01/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,08/08/2016,05:00 PM,08/08/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,09/05/2016,05:00 PM,09/05/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Wheki 302
ENEL301 LecA,09/12/2016,05:00 PM,09/12/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,09/19/2016,05:00 PM,09/19/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,09/26/2016,05:00 PM,09/26/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,10/03/2016,05:00 PM,10/03/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecB,07/12/2016,03:00 PM,07/12/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,07/19/2016,03:00 PM,07/19/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,07/26/2016,03:00 PM,07/26/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,08/02/2016,03:00 PM,08/02/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,08/09/2016,03:00 PM,08/09/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,09/06/2016,03:00 PM,09/06/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,09/13/2016,03:00 PM,09/13/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,09/20/2016,03:00 PM,09/20/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,09/27/2016,03:00 PM,09/27/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,10/04/2016,03:00 PM,10/04/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,07/13/2016,04:00 PM,07/13/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,07/20/2016,04:00 PM,07/20/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,07/27/2016,04:00 PM,07/27/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,08/03/2016,04:00 PM,08/03/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,08/10/2016,04:00 PM,08/10/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,09/07/2016,04:00 PM,09/07/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,09/14/2016,04:00 PM,09/14/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,09/21/2016,04:00 PM,09/21/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,09/28/2016,04:00 PM,09/28/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,10/05/2016,04:00 PM,10/05/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 TutA,07/14/2016,02:00 PM,07/14/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,07/21/2016,02:00 PM,07/21/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,07/28/2016,02:00 PM,07/28/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,08/04/2016,02:00 PM,08/04/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,08/11/2016,02:00 PM,08/11/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,09/08/2016,02:00 PM,09/08/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,09/15/2016,02:00 PM,09/15/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,09/22/2016,02:00 PM,09/22/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,09/29/2016,02:00 PM,09/29/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,10/06/2016,02:00 PM,10/06/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
SENG301 ComA,02/23/2016,09:00 AM,02/23/2016,11:00 AM,"Software Engineering II :: Mathews,MM", Erskine 136 Lab 4
SENG301 ComA,03/01/2016,09:00 AM,03/01/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
SENG301 ComA,03/08/2016,09:00 AM,03/08/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
SENG301 ComA,03/15/2016,09:00 AM,03/15/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
SENG301 ComA,04/05/2016,09:00 AM,04/05/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
SENG301 ComA,05/03/2016,09:00 AM,05/03/2016,11:00 AM,"Software Engineering II :: Mathews,MM", Erskine 136 Lab 4
SENG301 ComA,05/10/2016,09:00 AM,05/10/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
SENG301 ComA,05/17/2016,09:00 AM,05/17/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
SENG301 ComA,05/24/2016,09:00 AM,05/24/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
SENG301 LecA,02/22/2016,09:00 AM,02/22/2016,10:00 AM,"Software Engineering II :: Mathews,MM", A5 Lecture Theatre
SENG301 LecA,02/29/2016,09:00 AM,02/29/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
SENG301 LecA,03/07/2016,09:00 AM,03/07/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
SENG301 LecA,03/14/2016,09:00 AM,03/14/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
SENG301 LecA,04/04/2016,09:00 AM,04/04/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
SENG301 LecA,05/02/2016,09:00 AM,05/02/2016,10:00 AM,"Software Engineering II :: Mathews,MM", A5 Lecture Theatre
SENG301 LecA,05/09/2016,09:00 AM,05/09/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
