Subject,Start Date,Start Time,End Date,End Time,Description,Location
LecC ENEL301,09/07/2016,04:00 PM,09/07/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,09/14/2016,04:00 PM,09/14/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,09/21/2016,04:00 PM,09/21/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,09/28/2016,04:00 PM,09/28/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,10/05/2016,04:00 PM,10/05/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
LecC ENEL301,10/12/2016,04:00 PM,10/12/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Wheki 302
TutA ENEL301,07/14/2016,02:00 PM,07/14/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,07/21/2016,02:00 PM,07/21/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,07/28/2016,02:00 PM,07/28/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,08/04/2016,02:00 PM,08/04/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,08/11/2016,02:00 PM,08/11/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,08/18/2016,02:00 PM,08/18/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,09/08/2016,02:00 PM,09/08/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,09/15/2016,02:00 PM,09/15/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,09/22/2016,02:00 PM,09/22/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,09/29/2016,02:00 PM,09/29/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,10/06/2016,02:00 PM,10/06/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
TutA ENEL301,10/13/2016,02:00 PM,10/13/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ComA SENG301,02/23/2016,09:00 AM,02/23/2016,11:00 AM,"Software Engineering II :: Mathews,MM", Erskine 136 Lab 4
ComA SENG301,03/01/2016,09:00 AM,03/01/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
ComA SENG301,03/08/2016,09:00 AM,03/08/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
ComA SENG301,03/15/2016,09:00 AM,03/15/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
ComA SENG301,03/22/2016,09:00 AM,03/22/2016,11:00 AM,"Software Engineering II :: Mathews,MM", Erskine 136 Lab 4
ComA SENG301,04/05/2016,09:00 AM,04/05/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
ComA SENG301,05/03/2016,09:00 AM,05/03/2016,11:00 AM,"Software Engineering II :: Mathews,MM", Erskine 136 Lab 4
ComA SENG301,05/10/2016,09:00 AM,05/10/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
ComA SENG301,05/17/2016,09:00 AM,05/17/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
ComA SENG301,05/24/2016,09:00 AM,05/24/2016,11:00 AM,"Software Engineering II ::  Churcher,NI", Erskine 136 Lab 4
ComA SENG301,05/31/2016,09:00 AM,05/31/2016,11:00 AM,"Software Engineering II :: Mathews,MM", Erskine 136 Lab 4
LecA SENG301,02/22/2016,09:00 AM,02/22/2016,10:00 AM,"Software Engineering II :: Mathews,MM", A5 Lecture Theatre
LecA SENG301,02/29/2016,09:00 AM,02/29/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
LecA SENG301,03/07/2016,09:00 AM,03/07/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
LecA SENG301,03/14/2016,09:00 AM,03/14/2016,10:00 AM,"Software Engineering II ::  Churcher,NI", A5 Lecture Theatre
